Category,Food (Per 100g),Protein,Carbs g,Fat g,Calories (kcal)
Fruits,Almond Nuts,21.1,6.9,55.8,614
Vegetable,Anchovies,14.5,0.1,2.8,85
Vegetable,Asparagus,2.9,2,0.6,25
Fruits,Avocado,1.9,1.9,19.5,195
Meat,Bacon,15.9,,19.8,245
Vegetable,Baked Beans,9.5,22.1,0.4,130
Fruits,Bananas,1.2,23.2,0.3,100
Meat,Beef Fillet Steak,20.9,0,7.9,155
Grains,Bread (wholemeal),11,39.1,2.2,220
Vegetable,Broccoli,4.2,3.2,0.2,31
Vegetable,Carrots,0.6,7.9,0.3,37
Dairy,Cheese,30.9,0.1,15,260
Meat,Chicken Breast (Skinless),23.5,0,1.7,109
Fruits,Coconut,3.33,15.23,33.49,354
Meat,Cod fish,17.9,0,0.9,80
Dairy,Cottage Cheese,12.2,4.5,1.5,80
Grains,Couscous,15.1,73.1,1.1,365
Meat,Crab meat,18.1,trace,0.5,80
Meat,eggs,12.5,Trace,3.2,151
Fruits,Goji Berries,12.3,57.7,0.3,285
Meat,Haddock Fish,16.4,0,1.2,80
Other,Hummus,7.4,9.8,26.8,310
Meat,Lamb (Steak),19.9,0.8,3.2,115
Meat,Lobster,26.41,3.12,1.94,143
Dairy,Milk (Semi Skimmed),3.6,4.8,1.8,50
Dairy,Milk (Whole),3.3,4.7,3.6,64
Meat,Monkfish,24,,1.7,76
Fruits,Orange,1.1,8.5,0.1,39
Meat,Orange Roughy Fish,22.64,0,0.034,105
Grains,Pasta,12.5,73,1.4,355
Other,Peanut Butter (Crunchy),24.9,10.1,50.2,586
Vegetable,Peas,5.9,9,0.9,70
Other,Pizza (Pepperoni),11.4,28,11.1,260
Meat,Pork Chops,19.3,,20.3,260
Grains,Porridge oats,11,60,8,356
Vegetable,Potatoes,2.1,17.2,0.2,80
Meat,Prawns,17,0.3,0.9,80
Vegetable,Pumpkin Seeds,28.8,15.2,45.6,586
Grains,Rice (brown),6.9,74,2.8,350
Meat,Salmon Fish Fillets (Boneless),21.6,0,14,215
Meat,Sardines (Fish),21.5,trace,9.6,172
Meat,Sausages (pork),13.9,11.9,17,255
Vegetable,soya beans,35.9,14.8,18.6,375
Grains,Spaghetti,5.1,33,1.3,165
Vegetable,Spinach,2.8,1.5,0.8,24
Fruits,Sunflower Seeds,23.4,18.6,47.5,600
Other,Sushi,,,,
Meat,Tilapia Fish,24,0,4,105
Other,Tofu,12.1,0.6,6,105
Meat,Tuna Fish (Steak),25.6,0,0.5,110
Meat,Tuna Fish (Tinned),26.3,0,10.7,202
Meat,Turkey Breast (Skinless),22.3,0,1.2,100
Meat,Venison (Deer meat),30.21,,3.19,158
Other,Yogurt,4.5,6.6,11,145
